lon,lat,locode
113.559,22.1971,
-0.312222,47.560299,
133.700594,-14.818133,
21.762199,63.050701,FI VAA
-70.445099,-23.444501,CL ANF
4.46028,51.1894,BE ANR
-123.1816,48.7952,
-61.792702,17.1367,
43.33229827880859,38.46820068359375,
138.082993,9.49891,
30.5194,39.809898,
27.8251,43.232101,BG ASA
-123.3,48.86667,
36.9035,39.813801,
13.3623,43.616299,
-173.9620056152344,-18.58530044555664,
140.6909942626953,40.73469924926758,JP AOJ
27.14599990844727,35.4213981628418,GR AOK
10.3306,45.428902,IT MCH
100.3980026245117,6.189670085906982,
18.346200942993,57.662799835205,
-70.99639892578125,48.33060073852539,CA SAG
105.711998,10.0851,
12.3519,45.505299,IT VCE
-81.7752990723,26.1525993347,US APF
-47.134502,-23.007404,BR CPS
39.28179931640625,-15.10560035705566,
-123.233001709,48.75,
-172.0079956054688,-13.82999992370606,
-117.383003235,34.59749984739999,US VCV
34.935799,29.9403,
9.28806,61.015598,
-123.869863,49.05497,CA CSD
-124.930002,50.063,
35.01810073852539,29.61160087585449,
-71.5830993652,-16.3411006927,
106.590556,17.515,VN DOH
107.414167,21.117778,
40.71670150756836,64.60030364990234,RU ARH
-70.338699,-18.348499,CL ARI
36.63330078125,-3.36778998374939,
111.031389,35.116391,
-96.1873016357,19.1459007263,MX VER
17.918600082397,59.651901245117,SE SGT
-57.39139938354492,49.21080017089844,CA YDF
25.8390007019043,-18.09589958190918,
21.26199913024902,46.17660140991211,RO ARW
80.796799,16.530399,
-8.62677,42.2318,ES RED
42.64500045776367,13.07180023193359,
58.361,37.986801,
-77.79560089111328,24.69790077209473,
-113.580001831,53.3097000122,
48.010511,46.282843,
29.5625991821,40.2551994324,TR YSR
16.5697,48.110298,
-71.672668,8.624139,
105.67099762,18.7376003265,VN VNH
133.903427,-23.806588,
35.4953994751,38.770401001,
-64.42749786376953,18.4463996887207,
-68.555801,63.756402,CA IQL
-15.932,23.7183,MA VIL
-66.53720092773438,45.86890029907227,CA FRE
-57.52000045776367,-25.23999977111816,PY LUQ
28.613778,49.242531,
32.8199996948,23.9643993378,
-2.72447,42.882801,ES VIT
-40.285,-20.258,BR VIX
23.9445,37.936401,GR SPT
-125.0235,50.0994,
37.2615013123,55.5914993286,
-123.4969,48.8545,CA SSI
-84.428101,33.6367,
-0.481625,39.4893,ES MSY
133.235992,35.492199,JP SMN
74.797302,31.7096,
168.320007,-17.699301,
-88.5190963745,44.2580986023,
31.016309,27.050818,
-4.85194,41.7061,
-61.77809906005859,47.42470169067383,CA YGR
-67.92839813232422,10.14973258972168,
-70.015198,12.5014,
54.651718,24.443764,AE AUH
7.81334,36.826781,
9.849243,57.092759,
-97.662015,30.197535,US AUS
25.285801,54.634102,LT VNO
55.60919952392578,24.26169967651367,
82.861805,25.452129,
37.347301,45.002102,
35.31330108642578,-22.01840019226075,
10.618286,56.303331,
44.34550094604492,48.78250122070312,RU VOG
12.596503,46.031898,IT AVI
-90.253402709961,43.938999176025,
22.7943,39.219601,
4.901830196380615,43.90729904174805,FR AVN
39.22959899902344,51.81420135498047,
91.385002,53.740002,
-75.72339630130001,41.3385009766,
6.665278,6.204167,
144.468994,-38.039398,AU AVV
48.230075,30.367887,IR ABD
-75.442797,40.651773,
-86.525398,30.4832,US VPS
48.762001,31.3374,IR AWZ
-63.05383,18.204773,
-3.92629,5.26139,CI PBT
25.956301,40.8559,
-65.493599,18.1348,
-81.435302734375,23.03440093994141,CU QMA
-106.609001,35.040199,US ABQ
-75.7664,4.45278,
10.887303,45.394955,IT SCG
140.218994140625,39.6156005859375,
7.263169765472412,9.006790161132812,
-92.81739807128906,17.99699974060059,
16.63360023498535,59.58940124511719,SE VST
-2.19778,57.2019,
-99.753998,16.757099,
30.800501,36.898701,
102.56300354,17.9883003235,LA VTE
-0.166786000132561,5.605189800262451,GH ACC
-13.6052,28.945499,
-111.654999,33.3078,US MSC
54.2765007019,31.9048995972,IR AZD
83.224503,17.721201,
9.56077,47.485001,CH THL
54.458099,24.428301,AE AUH
-2.21472,49.706104,
72.293999,40.727699,
-0.186414,27.837601,DZ AZR
-69.737405,19.269259,
-63.135399,-17.6448,
-97.23049926757812,31.61129951477051,US ACT
-93.662697,32.501801,US BSR
50.63764,26.267295,
132.148155,43.396256,
41.1166000366,37.9290008545,TR BAL
-74.7808,10.8896,CO SOL
-74.57720184326172,39.45759963989258,US GWP
110.454775,19.13824,CN QHA
-25.0553,16.8332,
35.280399,36.982201,
14.72799968719482,56.92910003662109,SE VXO
27.157,38.2924,TR GZM
38.799301,8.97789,
109.997002,40.560001,CN BOT
